registro;;;uo;;numero_empenho;;data_nap;numero_nap;valor_item_empenho;
10;40812;1;1151;1;6860;7062023;15122023;38906;308446,29;18606121649
11;40812;1754000;0;308446,29;;;;;;
10;40813;1;1151;1;13917;21112023;15122023;38906;16376,92;18606121649
11;40813;1754000;0;16376,92;;;;;;
10;43617;1;1061;1;12405;16102023;15122023;38907;10000,00;1263146678
11;43617;1500000;0;10000;;;;;;
10;40817;1;1131;1;10994;19092023;15122023;38911;11900,30;1463827652
11;40817;1600000;0;11900,3;;;;;;
10;40816;1;1131;1;7028;14062023;15122023;38911;39004,35;1463827652
11;40816;1600000;0;39004,35;;;;;;
10;40818;1;1151;1;4161;23032023;15122023;38912;131836,67;18606121649
11;40818;1754000;0;131836,67;;;;;;
10;40819;1;1131;1;11028;19092023;15122023;38915;11388,38;1463827652
11;40819;1600000;0;11388,38;;;;;;
10;40820;1;1151;1;3374;15032023;15122023;38918;13183,67;18606121649
11;40820;1500000;0;13183,67;;;;;;
10;40822;1;1131;1;10995;19092023;15122023;38921;84841,11;1463827652
11;40822;1600000;0;84841,11;;;;;;
10;40824;1;1061;1;12223;6102023;15122023;38924;5913,60;1263146678
11;40824;1500000;0;5913,6;;;;;;
10;40825;1;1151;1;11791;27092023;15122023;38925;32685,60;18606121649
11;40825;1500000;0;32685,6;;;;;;
10;40826;1;1131;1;10901;18092023;15122023;38926;11312,14;1463827652
11;40826;1600000;0;11312,14;;;;;;
10;40829;1;1061;1;14714;1122023;15122023;38929;2580,50;1263146678
11;40829;1500000;0;2580,5;;;;;;
10;43618;1;1061;1;12405;16102023;15122023;38931;12144,90;1263146678
11;43618;1500000;0;12144,9;;;;;;
10;40832;1;1071;1;15004;13122023;15122023;38932;41200,00;31196098620
11;40832;1500000;0;41200;;;;;;
10;40843;1;1123;1;13298;1112023;15122023;38933;117240,15;29703905668
11;40843;1500000;1001;117240,15;;;;;;
10;40842;1;1123;1;13055;25102023;15122023;38933;70000,00;29703905668
11;40842;1500000;1001;70000;;;;;;
10;40840;1;1123;1;11052;19092023;15122023;38933;17868,66;29703905668
11;40840;1500000;1001;17868,66;;;;;;
10;40841;1;1123;1;12769;20102023;15122023;38933;20000,00;29703905668
11;40841;1500000;1001;20000;;;;;;
10;40837;1;1061;1;13736;16112023;15122023;38939;4136,00;1263146678
11;40837;2500000;0;4136;;;;;;
10;40838;1;1071;1;13639;14112023;15122023;38940;5920,00;31196098620
11;40838;1500000;0;5920;;;;;;
10;40839;1;1061;1;12405;16102023;15122023;38942;10000,00;1263146678
11;40839;1500000;0;10000;;;;;;
10;40846;1;1151;1;13172;30102023;15122023;38943;468395,02;18606121649
11;40846;1754000;0;468395,02;;;;;;
10;40849;1;1071;1;11845;27092023;15122023;38945;134662,99;31196098620
11;40849;1751000;0;134662,99;;;;;;
10;40853;1;1061;1;10594;11092023;15122023;38946;400,32;1263146678
